curated_collection,document_id,path,repository_id,metadata_type,title,added,document_created,document_updated
bibliophilly,4331,0023/lewis_e_070,0023,TEI,Letter to Damasus on the death of Saint Jerome,2017-07-17T15:47:27+00:00,2017-07-11T18:53:43+00:00,2018-01-11T18:56:36+00:00
bibliophilly,4341,0023/lewis_e_088,0023,TEI,"Book of Hours, Use of Utrecht",2017-07-19T20:19:39+00:00,2017-07-19T18:11:34+00:00,2018-01-11T18:56:36+00:00
bibliophilly,4342,0025/OthmerMS3,0025,TEI,Pretiosa margarita novella,2017-07-19T20:19:39+00:00,2017-07-19T18:18:17+00:00,2018-01-11T18:56:36+00:00
bibliophilly,4343,0025/OthmerMS5,0025,TEI,Theorica testamentum,2017-07-19T20:19:39+00:00,2017-07-19T19:16:20+00:00,2018-01-11T18:56:36+00:00
bibliophilly,4346,0025/OthmerMS6,0025,TEI,Codicillus,2017-07-24T20:13:29+00:00,2017-07-24T15:56:42+00:00,2018-01-11T18:56:36+00:00
bibliophilly,4347,0025/OthmerMS7,0025,TEI,Liber de secretis naturae seu de quinta essentia,2017-07-24T20:13:29+00:00,2017-07-24T16:18:22+00:00,2018-01-11T18:56:36+00:00
bibliophilly,4348,0025/OthmerMS8,0025,TEI,"Opera, including Lucidarium artis transmutationis metallorum; extracts from the Sommeta and Violetta; and Epistola",2017-07-24T20:13:29+00:00,2017-07-24T18:01:19+00:00,2018-01-11T18:56:36+00:00
bibliophilly,4349,0025/OthmerMS9,0025,TEI,Le petit rosaire; Extract on Alchemy from the Roman de la Rose,2017-07-24T20:13:29+00:00,2017-07-24T18:08:09+00:00,2018-01-11T18:56:36+00:00
bibliophilly,4350,0025/OthmerMS1,0025,TEI,"Recipes and extracts on alchemy, medicine, metal-working, cosmetics, veterinary science, agriculture, wine-making, and other subjects",2017-07-24T20:13:29+00:00,2017-07-24T18:51:50+00:00,2018-01-11T18:56:36+00:00
bibliophilly,4338,0025/OthmerMS2,0025,TEI,Alchemical miscellany,2017-07-25T18:59:07+00:00,2017-07-17T14:33:04+00:00,2018-01-11T18:56:36+00:00
bibliophilly,4339,0025/OthmerMS4,0025,TEI,Ars brevis; Ars abbreviata praedicanda,2017-07-25T18:59:07+00:00,2017-07-17T14:58:48+00:00,2018-01-11T18:56:36+00:00
bibliophilly,4340,0023/lewis_e_085,0023,TEI,"Book of Hours, Use of Besancon?",2017-07-25T18:59:07+00:00,2017-07-17T17:46:55+00:00,2018-01-11T18:56:36+00:00
bibliophilly,4351,0023/lewis_e_044,0023,TEI,"Bible, Epistles",2017-07-25T18:59:07+00:00,2017-07-25T15:37:09+00:00,2018-01-11T18:56:36+00:00
bibliophilly,4352,0023/lewis_e_089,0023,TEI,"Book of Hours, Use of Chalons",2017-07-25T18:59:07+00:00,2017-07-25T16:48:20+00:00,2018-01-11T18:56:36+00:00
bibliophilly,4354,0023/lewis_e_091,0023,TEI,"Book of Hours, Use of Utrecht",2017-07-31T20:44:46+00:00,2017-07-31T16:13:11+00:00,2018-01-11T18:56:36+00:00
bibliophilly,4355,0023/lewis_e_096,0023,TEI,"Book of Hours, Use of Paris",2017-07-31T20:44:46+00:00,2017-07-31T18:58:03+00:00,2018-01-11T18:56:36+00:00
bibliophilly,4359,0023/lewis_e_100,0023,TEI,"Book of Hours, Use of Rome",2017-08-01T17:06:28+00:00,2017-08-01T15:55:27+00:00,2018-01-11T18:56:36+00:00
bibliophilly,4868,0023/lewis_e_101,0023,TEI,"Book of Hours, Use of Rome",2017-08-23T20:46:38+00:00,2017-08-16T19:57:10+00:00,2018-01-11T18:56:36+00:00
bibliophilly,4867,0023/lewis_e_098,0023,TEI,"Book of hours, Use of Paris",2017-08-23T20:46:38+00:00,2017-08-16T18:20:00+00:00,2018-01-11T18:56:36+00:00
bibliophilly,4870,0023/lewis_e_090,0023,TEI,"Book of Hours, Use of Coutances",2017-08-23T20:46:38+00:00,2017-08-23T18:07:27+00:00,2018-01-11T18:56:36+00:00
bibliophilly,4871,0023/lewis_e_105,0023,TEI,"Book of Hours, Use of Rome",2017-08-23T20:46:38+00:00,2017-08-23T18:22:36+00:00,2018-01-11T18:56:36+00:00
bibliophilly,4872,0023/lewis_e_109,0023,TEI,"Book of Hours, Use of Rome",2017-08-23T20:46:38+00:00,2017-08-23T18:59:09+00:00,2018-01-11T18:56:36+00:00
bibliophilly,4877,0023/lewis_e_110,0023,TEI,"Book of Hours, use of Rome",2017-08-28T18:39:37+00:00,2017-08-28T15:00:04+00:00,2018-01-11T18:56:37+00:00
bibliophilly,4878,0023/lewis_e_112,0023,TEI,"Book of Hours, Use of Rome",2017-08-28T18:39:37+00:00,2017-08-28T16:57:30+00:00,2018-01-11T18:56:37+00:00
bibliophilly,4882,0023/lewis_e_011,0023,TEI,Antiphonary,2017-09-06T20:41:16+00:00,2017-09-05T20:41:47+00:00,2018-01-11T18:56:36+00:00
bibliophilly,4884,0023/lewis_e_001,0023,TEI,De amore et dilectione Dei (On the love and favor of God); De doctrina dicendi et tacendi (On the doctrine of speaking and keeping silent); De ritu et moribus Indorum (On the rites and ways of the Indians); Historia de preliis Alexandri Magni (History of the battles of Alexander the Great); Pseudo-Sibylline Prophecy; Sermones quattuor (Four sermons),2017-09-11T20:55:16+00:00,2017-09-06T19:18:35+00:00,2018-01-11T18:56:36+00:00
bibliophilly,4953,0023/lewis_e_103,0023,TEI,"Book of Hours, Use of Rome",2017-09-11T20:55:16+00:00,2017-09-11T16:31:59+00:00,2018-01-11T18:56:36+00:00
bibliophilly,4955,0023/lewis_e_027,0023,TEI,Flores; religious miscellany,2017-09-12T17:16:56+00:00,2017-09-11T16:35:51+00:00,2018-01-11T18:56:36+00:00
bibliophilly,4959,0023/lewis_e_189,0023,TEI,Psalter,2017-09-12T17:16:56+00:00,2017-09-11T18:01:45+00:00,2018-01-11T18:56:37+00:00
bibliophilly,4981,0023/lewis_e_016,0023,TEI,Secreta secretorum (Secrets of Secrets),2017-09-12T17:16:56+00:00,2017-09-12T15:21:37+00:00,2018-01-11T18:56:36+00:00
bibliophilly,5025,0023/lewis_e_237,0023,TEI,Ad adolescentes de legendis libris gentilium (Address to young men on the right use of greek literature),2017-09-18T17:06:52+00:00,2017-09-18T14:49:14+00:00,2018-01-11T18:56:37+00:00
